ProvinceName,KabupatenName,KecamatanName,PrabowoHattaVotes,JokowiKallaVotes,TotalVotes
BALI,BULELENG,SERIRIT,14950,23685,38635
BALI,KARANGASEM,MANGGIS,6901,18169,25070
BALI,KARANGASEM,SIDEMEN,5905,16453,22358
BALI,KLUNGKUNG,DAWAN,5958,16010,21968
BALI,BANGLI,SUSUT,8102,20530,28632
BALI,KARANGASEM,SELAT,7165,17980,25145
BALI,BANGLI,KINTAMANI,14039,40783,54822
BALI,BULELENG,GEROKGAK,15376,26829,42205
BALI,BULELENG,TEJAKULA,4421,22360,26781
BALI,BANGLI,TEMBUKU,5989,18607,24596
BALI,KARANGASEM,BEBANDEM,10830,18368,29198
BALI,KARANGASEM,KARANGASEM,17124,31766,48890
BALI,KOTA DENPASAR,DENPASAR BARAT,26363,68230,94593
BALI,BULELENG,BANJAR,12583,28070,40653
BALI,BULELENG,BUSUNG BIU,7294,17486,24780
NUSA TENGGARA BARAT,LOMBOK BARAT,LINGSAR,28021,10248,38269
BALI,BULELENG,SUKASADA,12050,24730,36780
BALI,KARANGASEM,KUBU,12970,16822,29792
NUSA TENGGARA BARAT,LOMBOK BARAT,LEMBAR,17663,6825,24488
BALI,KOTA DENPASAR,DENPASAR UTARA,18503,63473,81976
NUSA TENGGARA BARAT,LOMBOK BARAT,LABUAPI,29243,6295,35538
NUSA TENGGARA BARAT,LOMBOK TENGAH,PRAYA TENGAH,26887,7597,34484
BALI,KOTA DENPASAR,DENPASAR TIMUR,12967,46845,59812
BALI,BULELENG,KUBUTAMBAHAN,7441,19231,26672
BALI,BULELENG,BULELENG,20569,45577,66146
NUSA TENGGARA BARAT,LOMBOK TENGAH,PRAYA,46096,12956,59052
NUSA TENGGARA BARAT,LOMBOK BARAT,GUNUNGSARI,36017,10051,46068
NUSA TENGGARA BARAT,LOMBOK BARAT,SEKOTONG,19572,9377,28949
NUSA TENGGARA BARAT,LOMBOK BARAT,KURIPAN,14754,3518,18272
BALI,BULELENG,SAWAN,8168,24260,32428
NUSA TENGGARA BARAT,LOMBOK TENGAH,JANAPRIA,32028,8038,40066
BALI,KOTA DENPASAR,DENPASAR SELATAN,22047,63072,85119
NUSA TENGGARA BARAT,LOMBOK BARAT,GERUNG,35127,8377,43504
NUSA TENGGARA BARAT,LOMBOK TENGAH,JONGGAT,37787,12812,50599
NUSA TENGGARA BARAT,LOMBOK TENGAH,PRAYA BARAT,28144,10197,38341
NUSA TENGGARA BARAT,LOMBOK BARAT,BATU LAYAR,20702,5925,26627
NUSA TENGGARA BARAT,LOMBOK BARAT,KEDIRI,25993,4354,30347
NUSA TENGGARA BARAT,LOMBOK TENGAH,PRAYA BARAT DAYA,20063,6895,26958
NUSA TENGGARA BARAT,LOMBOK TENGAH,PRAYA TIMUR,27544,12019,39563
NUSA TENGGARA BARAT,LOMBOK BARAT,NARMADA,37474,14159,51633
NUSA TENGGARA BARAT,LOMBOK TIMUR,WANASABA,29945,7421,37366
NUSA TENGGARA BARAT,LOMBOK TENGAH,PRINGGARATA,22808,11330,34138
NUSA TENGGARA BARAT,LOMBOK TIMUR,KERUAK,20366,6057,26423
NUSA TENGGARA BARAT,LOMBOK TIMUR,SAMBELIA,10475,5775,16250
NUSA TENGGARA BARAT,LOMBOK TIMUR,SIKUR,29868,9454,39322
NUSA TENGGARA BARAT,LOMBOK TIMUR,SURALAGA,20089,8854,28943
NUSA TENGGARA BARAT,LOMBOK TIMUR,TERARA,28186,8338,36524
NUSA TENGGARA BARAT,LOMBOK TENGAH,BATUKLIANG,29263,12250,41513
NUSA TENGGARA BARAT,LOMBOK TIMUR,SAKRA TIMUR,15562,6510,22072
NUSA TENGGARA BARAT,LOMBOK TENGAH,BATUKLIANG UTARA,20233,6817,27050
NUSA TENGGARA BARAT,LOMBOK TENGAH,KOPANG,33793,10706,44499
NUSA TENGGARA BARAT,LOMBOK TIMUR,PRINGGASELA,22359,6865,29224
NUSA TENGGARA BARAT,LOMBOK TIMUR,SEMBALUN,7845,3466,11311
NUSA TENGGARA BARAT,LOMBOK TENGAH,PUJUT,37982,17423,55405
NUSA TENGGARA BARAT,LOMBOK TIMUR,SUKAMULIA,13822,3510,17332
NUSA TENGGARA BARAT,LOMBOK TIMUR,AIKMEL,35889,16393,52282
NUSA TENGGARA BARAT,SUMBAWA,RHEE,2033,2082,4115
NUSA TENGGARA BARAT,LOMBOK TIMUR,SUWELA,15264,6188,21452
NUSA TENGGARA BARAT,LOMBOK TIMUR,MASBAGIK,44466,10279,54745
NUSA TENGGARA BARAT,LOMBOK TIMUR,LABUHAN HAJI,24367,6505,30872
NUSA TENGGARA BARAT,LOMBOK TIMUR,SAKRA BARAT,18774,7668,26442
NUSA TENGGARA BARAT,SUMBAWA,LABANGKA,3444,1766,5210
NUSA TENGGARA BARAT,LOMBOK TIMUR,PRINGGABAYA,36013,13434,49447
NUSA TENGGARA BARAT,SUMBAWA,ORONG TELU,1634,999,2633
NUSA TENGGARA BARAT,SUMBAWA,BUER,4508,3363,7871
NUSA TENGGARA BARAT,LOMBOK TIMUR,JEROWARU,20828,8098,28926
NUSA TENGGARA BARAT,SUMBAWA,ALAS BARAT,7630,3679,11309
NUSA TENGGARA BARAT,LOMBOK TIMUR,SAKRA,23304,6451,29755
NUSA TENGGARA BARAT,LOMBOK TIMUR,MONTONG GADING,17521,6041,23562
NUSA TENGGARA BARAT,LOMBOK TIMUR,SELONG,36603,8288,44891
NUSA TENGGARA BARAT,SUMBAWA,TARANO,4879,3688,8567
NUSA TENGGARA BARAT,SUMBAWA,LABUHAN BADAS,10407,6264,16671
NUSA TENGGARA BARAT,SUMBAWA,SUMBAWA,20983,9951,30934
NUSA TENGGARA BARAT,SUMBAWA,LUNYUK,6484,3889,10373
NUSA TENGGARA BARAT,SUMBAWA,MARONGE,3767,1984,5751
NUSA TENGGARA BARAT,SUMBAWA,UTAN,10274,6027,16301
NUSA TENGGARA BARAT,SUMBAWA,ALAS,9407,5921,15328
NUSA TENGGARA BARAT,SUMBAWA,LANTUNG,1149,646,1795
NUSA TENGGARA BARAT,SUMBAWA,EMPANG,7815,5527,13342
NUSA TENGGARA BARAT,SUMBAWA,ROPANG,2065,1110,3175
NUSA TENGGARA BARAT,SUMBAWA,LENANGGUAR,2751,1403,4154
NUSA TENGGARA BARAT,SUMBAWA,UNTER IWES,8807,2732,11539
NUSA TENGGARA BARAT,SUMBAWA,LOPOK,7142,4039,11181
NUSA TENGGARA BARAT,SUMBAWA,LAPE,6934,3081,10015
NUSA TENGGARA BARAT,SUMBAWA,MOYO UTARA,4420,1639,6059
NUSA TENGGARA BARAT,SUMBAWA,MOYO HILIR,10159,3976,14135
NUSA TENGGARA BARAT,SUMBAWA,MOYO HULU,8516,4749,13265
NUSA TENGGARA BARAT,DOMPU,DOMPU,20307,7573,27880
NUSA TENGGARA BARAT,SUMBAWA,PLAMPANG,10389,5546,15935
NUSA TENGGARA BARAT,DOMPU,WOJA,23787,6455,30242
NUSA TENGGARA BARAT,DOMPU,PEKAT,11348,4409,15757
NUSA TENGGARA BARAT,SUMBAWA,BATU LANTEH,4458,1478,5936
NUSA TENGGARA BARAT,DOMPU,KILO,4173,2907,7080
NUSA TENGGARA BARAT,DOMPU,KEMPO,5876,4334,10210
NUSA TENGGARA BARAT,BIMA,LAMBU,9291,7400,16691
NUSA TENGGARA BARAT,DOMPU,PAJO,3946,2613,6559
NUSA TENGGARA BARAT,BIMA,DONGGO,6796,3926,10722
NUSA TENGGARA BARAT,BIMA,MONTA,12132,4158,16290
NUSA TENGGARA BARAT,BIMA,WAWO,6694,2243,8937
