#HEADER:ProvinceCode,ProvinceName,KabupatenCode,KabupatenName,KecamatanCode,KecamatanName,PrabowoHattaVotes,JokowiKallaVotes,TotalVotes
26141,JAWA BARAT,29369,CIREBON,29757,PABUARAN,5536,13280,18816
26141,JAWA BARAT,29369,CIREBON,29419,BABAKAN,9756,23583,33339
26141,JAWA BARAT,29369,CIREBON,29405,PABEDILAN,8678,19385,28063
26141,JAWA BARAT,29369,CIREBON,29815,SURANENGGALA,9593,14309,23902
26141,JAWA BARAT,29369,CIREBON,29434,KARANGSEMBUNG,6493,11353,17846
26141,JAWA BARAT,29369,CIREBON,29784,PLERED,9317,19213,28530
26141,JAWA BARAT,29369,CIREBON,29775,TENGAH TANI,9005,13933,22938
26141,JAWA BARAT,29369,CIREBON,29749,PASALEMAN,4466,7111,11577
26141,JAWA BARAT,29369,CIREBON,29383,CILEDUG,10078,13216,23294
26141,JAWA BARAT,29369,CIREBON,29765,KARANGWARENG,3734,10083,13817
26141,JAWA BARAT,29369,CIREBON,29504,MUNDU,15338,21179,36517
26141,JAWA BARAT,29369,CIREBON,29582,PLUMBON,15970,26697,42667
26141,JAWA BARAT,29369,CIREBON,29517,BEBER,8210,10023,18233
26141,JAWA BARAT,29834,MAJALENGKA,30059,LIGUNG,0,0,0
26141,JAWA BARAT,29369,CIREBON,29394,LOSARI,9989,17005,26994
